NODE_ID,ARS_ID,정류소명,위도,경도,정류소타입
102000088,03182,용산꿈나무종합타운.보건분소,37.538295,126.964648,일반차로
102000089,03183,원효로제1동주민센터,37.5376607152,126.9669923459,일반차로
102000090,03184,전쟁기념관,37.5347586674,126.9768577525,일반차로
102000091,03185,전쟁기념관,37.534651168,126.9753831458,일반차로
102000092,03186,녹사평역,37.5351069553,126.9851183494,일반차로
102000093,03187,녹사평역,37.5347582183,126.9853046955,일반차로
102000094,03188,용산구청.이태원시장,37.5343830489,126.9904706555,일반차로
102000095,03189,용산구청.이태원시장,37.5341127106,126.9900096398,일반차로
102000096,03190,이태원역1번출구.해밀턴호텔,37.534552,126.993043,일반차로
102000097,03191,이태원역4번출구.해밀턴호텔,37.5343539681,126.9934293088,일반차로
102000098,03192,이태원119안전센터,37.53479,126.996387,일반차로
102000099,03193,이태원119안전센터,37.534604145,126.997179939,일반차로
102000100,03194,한남동주민센터,37.5370458894,127.0004667254,일반차로
102000101,03195,한남동주민센터,37.5367073033,127.0006042579,일반차로
102000102,03196,한강진역.블루스퀘어,37.540805,127.001695,일반차로
102000103,03197,한강진역.블루스퀘어,37.5409291837,127.0020254103,일반차로
102000104,03198,서울역11번출구,37.5536168846,126.9738943742,일반차로
102000105,03199,후암삼거리,37.5525408404,126.9765772255,일반차로
102000106,03200,후암시장,37.5506891863,126.9770644706,일반차로
102000107,03201,후암시장,37.5497467332,126.9775446282,일반차로
102000108,03202,용산중고,37.5466597949,126.9781855672,일반차로
102000109,03203,용산중고,37.547205,126.978225,일반차로
102000110,03204,후암동종점.용산중학교,37.5466989277,126.9809588102,일반차로
102000111,03205,용산고등학교,37.54574,126.977563,일반차로
102000112,03206,서울시교육청.남영동주민센터,37.545772,126.976572,일반차로
102000113,03207,서울시교육청.남영동주민센터,37.545505,126.975732,일반차로
102000114,03208,남영우체국,37.5451241168,126.973235384,일반차로
102000115,03209,갈월동사회복지관.남영우체국,37.545409,126.973962,일반차로
102000116,03210,한남시범아파트,37.5379429734,127.0122607528,일반차로
102000117,03211,한남시범아파트,37.5377041394,127.0126714787,일반차로
102000118,03212,한남동,37.5339127002,127.0084445845,일반차로
102000119,03213,한남동,37.5337549896,127.0087002913,일반차로
102000120,03214,이촌동동부센트레빌,37.5215595386,126.9660096214,일반차로
102000121,03215,이촌동두산위브트레지움.한강대우아파트,37.5215734809,126.9675282802,일반차로
102000122,03216,이촌1동충신교회앞,37.5212831472,126.968480845,일반차로
102000123,03217,이촌동한가람아파트.이촌역,37.520656299,126.9718842721,일반차로
102000124,03218,이촌동한강맨션.이촌역,37.5201804898,126.972709783,일반차로
102000125,03219,신용산초등학교,37.5198497731,126.9745085046,일반차로
102000126,03220,신용산초등학교.중경고등학교,37.5190775256,126.9762479627,일반차로
102000127,03221,중경고등학교.이촌동강촌아파트,37.5189178471,126.9775234206,일반차로
102000128,03222,이촌동점보아파트,37.5183827987,126.9784408808,일반차로
102000129,03223,이촌동현대아파트,37.5185336834,126.9787120007,일반차로
102000130,03224,금강병원.반도아파트,37.517704332,126.9811234284,일반차로
102000131,03225,서빙고신동아아파트,37.517936953,126.9851053606,일반차로
102000132,03226,서빙고신동아아파트,37.5174859672,126.985371435,일반차로
102000133,03227,만리동고개,37.551670014,126.9628215994,일반차로
102000134,03228,손기정체육공원,37.5542153265,126.9664230215,일반차로
102000135,03229,숙대입구역,37.544479,126.970799,일반차로
102000136,03230,남영역.민주화운동기념관,37.5422202391,126.9709244565,일반차로
102000137,03231,숙명여대도서관앞,37.5448468654,126.9672216718,일반차로
102000138,03232,숙명여대도서관앞,37.5448412411,126.9664464653,일반차로
102000139,03233,숙명여대정문,37.5449594985,126.9641094647,일반차로
102000140,03234,숙명여대정문,37.5451307674,126.9643096929,일반차로
102000141,03235,숙명여대후문.이봉창활동터,37.5460839723,126.9632996424,일반차로
102000142,03236,효창공원후문,37.5467910299,126.9625778991,일반차로
102000143,03237,한겨레신문사입구,37.5458806239,126.9591928852,일반차로
102000144,03238,대한노인회중앙회,37.5437890449,126.9576684412,일반차로
102000145,03239,효창운동장.효창동주민센터,37.5422095196,126.9617671315,일반차로
102000146,03240,효창동주민센터.금양초등학교,37.5416239572,126.9622336676,일반차로
102000147,03241,금양초등학교,37.5412992546,126.9620007403,일반차로
102000148,03242,효창공원역,37.5387860159,126.9610378658,일반차로
102000149,03243,도원삼성래미안아파트,37.539776803,126.9574338661,일반차로
102000150,03244,도원삼성래미안아파트,37.5396254142,126.9572103137,일반차로
102000151,03245,중앙하이츠빌라앞,37.5380144603,126.9600336494,일반차로
